T1_Depth,T2_Depth,T3_Depth,T1_Height_U,T2_Height_U,T3_Height_U,T1_Setback_FU,T2_Setback_FU,T3_Setback_FU,T1_Roof_Height,T2_Roof_Height,T3_Roof_Height,SolarRadiation
60,70,50,36,24,12,5,10,5,9,12,9,1025.655883
70,70,50,48,48,24,10,10,5,9,9,12,647.986291
60,60,60,48,24,36,5,10,5,9,12,9,1051.42859
70,70,60,48,36,12,5,10,5,12,12,9,1002.40677
60,70,60,24,24,12,10,5,5,12,12,12,673.639138
70,60,60,48,48,24,5,5,5,12,12,12,1000.760556
60,60,60,48,48,36,5,5,10,12,9,9,1041.192441
70,60,50,24,36,12,10,5,10,12,12,12,638.68881
60,70,60,36,24,12,5,5,5,12,12,9,1017.700501
70,60,60,48,24,24,5,5,5,9,9,9,1009.003446
60,60,50,48,24,36,5,10,5,9,12,9,1051.372317
70,60,50,12,48,12,5,10,10,12,12,12,822.187756
60,70,60,24,24,12,5,10,10,12,9,12,983.499419
70,70,50,48,12,24,5,5,10,12,9,12,1004.855682
60,60,60,36,36,36,5,5,10,12,9,12,1016.006473
70,70,50,12,48,12,10,5,10,9,12,9,625.942767
60,70,50,12,36,12,10,5,10,12,12,12,652.708742
70,70,60,48,48,24,10,10,10,12,12,9,641.832544
60,70,60,36,48,36,5,10,5,9,12,12,1022.450251
70,70,60,36,24,12,5,5,10,9,12,12,988.035987
60,60,50,48,12,12,10,10,5,9,12,9,692.12322
70,60,50,36,36,24,10,5,5,9,9,12,643.215799
60,60,50,48,24,36,5,10,5,12,12,12,1043.246657
70,60,60,48,36,12,5,10,10,12,9,9,1002.553402
60,60,60,24,24,12,5,10,10,12,12,12,983.12051
70,60,50,48,36,24,5,10,10,9,12,12,1007.793015
60,70,60,24,48,36,10,10,5,12,9,9,671.096239
70,60,60,36,12,12,10,10,10,9,9,12,644.924079
60,70,50,48,12,12,10,5,5,9,12,12,692.14477
70,70,60,36,12,24,5,5,5,12,12,12,983.71959
60,60,60,12,12,36,10,10,10,12,12,12,654.59911
70,70,60,48,24,12,10,5,5,12,12,12,643.460275
60,70,60,12,48,12,10,5,10,12,9,12,651.569724
70,70,50,36,36,24,10,5,5,12,12,12,636.887836
60,70,50,48,12,36,10,10,10,12,12,12,682.56774
70,60,60,36,36,12,5,5,10,12,9,12,981.39987
60,60,50,12,36,12,10,10,5,9,9,9,662.891817
70,70,50,36,48,24,5,10,5,9,12,9,985.514245
60,60,60,48,24,36,5,5,10,9,12,12,1051.129897
70,70,60,36,24,12,10,5,5,9,12,12,644.021181
60,70,50,36,48,12,10,10,5,9,12,9,678.844754
70,60,60,24,24,24,10,5,5,9,9,12,646.582132
60,60,60,48,48,36,10,10,10,12,12,12,680.216803
70,60,60,36,24,12,5,10,5,12,9,12,982.77157
60,70,50,48,48,12,10,10,5,9,9,9,689.968294
70,70,50,12,12,24,5,5,10,12,9,9,827.421118
60,70,60,12,48,36,5,10,10,12,9,12,855.940456
70,60,50,12,36,12,10,5,5,12,9,12,620.537145
60,70,60,36,12,12,5,10,5,12,12,9,1018.902528
70,60,50,48,36,24,10,5,10,12,12,9,642.668974
60,60,50,24,36,36,5,5,5,12,12,12,980.680353
70,60,50,12,48,12,5,5,10,9,12,9,828.337493
60,70,50,48,24,12,5,5,10,9,9,9,1051.948833
70,70,60,36,48,24,10,10,5,12,12,12,636.120906
60,60,50,12,24,36,5,10,10,12,12,9,859.210417
70,70,50,24,24,12,5,5,10,9,9,12,954.172096
60,60,60,24,48,12,5,10,10,9,9,9,988.333789
70,60,60,12,24,24,5,10,10,9,9,9,832.446805
60,70,50,48,36,36,5,10,10,9,9,9,1050.585405
70,70,50,12,24,12,5,10,10,9,12,9,832.166134
60,70,50,36,48,12,10,10,10,12,9,12,670.017474
70,70,50,36,24,24,10,5,5,12,12,9,637.916063
60,70,60,36,36,36,10,5,5,9,12,9,679.293724
70,60,60,36,12,12,5,5,10,9,9,9,989.421161
60,60,60,48,12,12,5,10,5,12,9,9,1045.317253
70,70,50,36,36,24,10,5,5,12,9,12,637.177478
60,70,60,12,36,36,10,10,10,9,12,9,662.517994
70,70,50,36,36,12,5,10,5,9,9,9,987.112456
60,60,50,12,24,12,5,5,5,9,12,9,868.368707
70,60,50,12,48,24,10,10,10,12,12,12,619.080146
60,70,50,24,48,36,5,5,10,12,12,9,979.508979
70,70,60,12,24,12,10,5,10,9,9,9,628.965304
